Time,Internet traffic data (in bits) from a private ISP with centres in 11 European cities. The data corresponds to a transatlantic link and was collected from 06:57 hours on 7 June to 11:17 hours on 31 July 2005. Data collected at five minute intervals.
6/7/2005 7:00,3562279127
6/7/2005 7:05,3710215571
6/7/2005 7:10,3877469703
6/7/2005 7:15,3876354871
6/7/2005 7:20,4582542581
6/7/2005 7:25,5016336869
6/7/2005 7:30,5202513642
6/7/2005 7:35,5410604985
6/7/2005 7:40,5408071320
6/7/2005 7:45,5598048880
6/7/2005 7:50,5268183974
6/7/2005 7:55,5205965910
6/7/2005 8:00,5554284558
6/7/2005 8:05,6071804752
6/7/2005 8:10,6533409311
6/7/2005 8:15,6432612096
6/7/2005 8:20,6422634291
6/7/2005 8:25,6413343245
6/7/2005 8:30,6438472853
6/7/2005 8:35,6593321117
6/7/2005 8:40,6386798311
6/7/2005 8:45,6402829429
6/7/2005 8:50,6448640206
6/7/2005 8:55,6758012799
6/7/2005 9:00,6897537181
6/7/2005 9:05,6625683956
6/7/2005 9:10,6786593033
6/7/2005 9:15,6741090851
6/7/2005 9:20,6857892154
6/7/2005 9:25,6885633911
6/7/2005 9:30,7036186201
6/7/2005 9:35,7182820092
6/7/2005 9:40,6897783063
6/7/2005 9:45,6802926206
6/7/2005 9:50,6856304069
6/7/2005 9:55,6963587768
6/7/2005 10:00,7283565230
6/7/2005 10:05,7294355973
6/7/2005 10:10,7277773691
6/7/2005 10:15,7327652118
6/7/2005 10:20,7411935065
6/7/2005 10:25,7559621824
6/7/2005 10:30,7464144357
6/7/2005 10:35,7556335967
6/7/2005 10:40,7531158925
6/7/2005 10:45,7451588318
6/7/2005 10:50,7251552599
6/7/2005 10:55,7387311025
6/7/2005 11:00,7534902212
6/7/2005 11:05,7669462738
6/7/2005 11:10,7806347806
6/7/2005 11:15,7633844064
6/7/2005 11:20,7666925195
6/7/2005 11:25,7520164584
6/7/2005 11:30,7501747391
6/7/2005 11:35,7767857531
6/7/2005 11:40,7232609101
6/7/2005 11:45,7274338276
6/7/2005 11:50,7408981176
6/7/2005 11:55,7230742271
6/7/2005 12:00,7354167649
6/7/2005 12:05,7107897687
6/7/2005 12:10,7295721127
6/7/2005 12:15,7080999121
6/7/2005 12:20,7606453644
6/7/2005 12:25,7642015997
6/7/2005 12:30,7848884725
6/7/2005 12:35,7724196995
6/7/2005 12:40,7650962743
6/7/2005 12:45,7753904748
6/7/2005 12:50,7744009419
6/7/2005 12:55,7336903262
6/7/2005 13:00,7485654677
6/7/2005 13:05,7513611244
6/7/2005 13:10,7644185813
6/7/2005 13:15,7414962086
6/7/2005 13:20,7514644125
6/7/2005 13:25,7445178236
6/7/2005 13:30,7294385873
6/7/2005 13:35,7233354647
6/7/2005 13:40,7332941859
6/7/2005 13:45,7513492139
6/7/2005 13:50,7528727688
6/7/2005 13:55,8536272286
6/7/2005 14:00,7724842582
6/7/2005 14:05,7599001549
6/7/2005 14:10,7348468015
6/7/2005 14:15,7326327200
6/7/2005 14:20,7639506670
6/7/2005 14:25,7802449354
6/7/2005 14:30,7485672218
6/7/2005 14:35,7354957743
6/7/2005 14:40,7497015314
6/7/2005 14:45,7235630142
6/7/2005 14:50,7434386233
6/7/2005 14:55,7519403839
6/7/2005 15:00,7403087775
6/7/2005 15:05,7366791574
6/7/2005 15:10,7577678754
6/7/2005 15:15,7326687210
6/7/2005 15:20,7259778835
6/7/2005 15:25,7499146875
6/7/2005 15:30,7530745790
6/7/2005 15:35,7054149566
6/7/2005 15:40,7134469847
6/7/2005 15:45,7081949563
6/7/2005 15:50,6953665837
6/7/2005 15:55,7023590624
6/7/2005 16:00,6759900139
6/7/2005 16:05,6530131152
6/7/2005 16:10,6447105457
6/7/2005 16:15,6330514608
6/7/2005 16:20,6331684427
6/7/2005 16:25,6223271197
6/7/2005 16:30,6202872405
6/7/2005 16:35,5914776765
6/7/2005 16:40,5917454777
6/7/2005 16:45,5921237644
6/7/2005 16:50,5640499083
6/7/2005 16:55,5391187185
6/7/2005 17:00,5349731374
6/7/2005 17:05,5306831763
6/7/2005 17:10,4924258813
6/7/2005 17:15,4870140499
6/7/2005 17:20,5051888264
6/7/2005 17:25,4936297774
6/7/2005 17:30,4670716971
6/7/2005 17:35,4336637893
6/7/2005 17:40,4315527574
6/7/2005 17:45,4234212594
6/7/2005 17:50,4403446516
6/7/2005 17:55,4295636203
6/7/2005 18:00,4158312131
6/7/2005 18:05,3994767281
6/7/2005 18:10,3981376101
6/7/2005 18:15,4103194285
6/7/2005 18:20,4191264851
6/7/2005 18:25,4107663994
6/7/2005 18:30,3950115059
6/7/2005 18:35,3884135336
6/7/2005 18:40,4106267810
6/7/2005 18:45,3873014865
6/7/2005 18:50,3987571377
6/7/2005 18:55,3772918776
